customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,daily_charges,total_services_count
0002-orfbo,0,0,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one_year,1,mailed_check,65.6,593.3,2.16,5
0003-mknfe,0,1,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month-to-month,0,mailed_check,59.9,542.4,1.97,4
0004-tlhlj,1,1,0,0,0,4,1,0,fiber_optic,0,0,1,0,0,0,month-to-month,1,electronic_check,73.9,280.85,2.43,3
0011-igkff,1,1,1,1,0,13,1,0,fiber_optic,0,1,1,0,1,1,month-to-month,1,electronic_check,98.0,1237.85,3.22,6
0013-exchz,1,0,1,1,0,3,1,0,fiber_optic,0,0,0,1,1,0,month-to-month,1,mailed_check,83.9,267.4,2.76,4
0013-mhzwf,0,0,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month-to-month,1,credit_card_automatic,69.4,571.45,2.28,5
0013-smeoe,0,0,1,1,0,71,1,0,fiber_optic,1,1,1,1,1,1,two_year,1,bank_transfer_automatic,109.7,7904.25,3.6,8
0014-bmaqu,0,1,0,1,0,63,1,1,fiber_optic,1,0,0,1,0,0,two_year,1,credit_card_automatic,84.65,5377.8,2.78,5
0015-uocoj,0,0,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic_check,48.2,340.35,1.58,3
0016-qljis,0,0,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two_year,1,mailed_check,90.45,5957.9,2.97,9
0017-dinoc,0,1,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two_year,0,credit_card_automatic,45.2,2460.55,1.49,4
0017-iudmw,0,0,0,1,1,72,1,1,fiber_optic,1,1,1,1,1,1,two_year,1,credit_card_automatic,116.8,8456.75,3.84,9
0018-nyrou,0,0,0,1,0,5,1,0,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,68.95,351.5,2.27,2
0019-efaep,0,0,0,0,0,72,1,1,fiber_optic,1,1,1,0,1,0,two_year,1,bank_transfer_automatic,101.3,7261.25,3.33,7
0019-gfntw,0,0,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two_year,0,bank_transfer_automatic,45.05,2560.1,1.48,5
0020-inwck,0,0,0,1,1,71,1,1,fiber_optic,0,1,1,0,0,1,two_year,1,credit_card_automatic,95.75,6849.4,3.15,6
0020-jdnxp,0,0,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one_year,0,mailed_check,61.25,1993.2,2.01,6
0021-ikxgc,0,0,1,0,0,1,1,1,fiber_optic,0,0,0,0,0,0,month-to-month,1,electronic_check,72.1,72.1,2.37,3
0022-tcjci,1,1,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one_year,0,credit_card_automatic,62.7,2791.5,2.06,5
0023-hghwl,1,1,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic_check,25.1,25.1,0.82,1
0023-uyupn,0,0,1,1,0,50,1,1,no,0,0,0,0,0,0,one_year,0,electronic_check,25.2,1306.3,0.83,2
0023-xuopt,1,0,0,1,0,13,1,1,fiber_optic,0,1,1,0,1,0,month-to-month,0,electronic_check,94.1,1215.6,3.09,6
0027-kwykw,0,0,0,1,1,23,1,1,fiber_optic,0,0,0,0,1,0,month-to-month,1,electronic_check,83.75,1849.95,2.75,4
0030-fnxpp,0,0,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,19.85,57.2,0.65,1
0031-pvlzi,1,0,0,1,1,4,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed_check,20.35,76.35,0.67,1
0032-pgels,1,0,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month-to-month,0,bank_transfer_automatic,30.5,30.5,1.0,2
0036-ihmot,0,0,0,1,1,55,1,0,fiber_optic,0,1,1,1,1,1,one_year,1,bank_transfer_automatic,103.7,5656.75,3.41,7
0040-halcw,0,1,0,1,1,54,1,0,no,0,0,0,0,0,0,two_year,0,credit_card_automatic,20.4,1090.6,0.67,1
0042-jvwoj,0,1,0,0,0,26,1,0,no,0,0,0,0,0,0,one_year,1,bank_transfer_automatic,19.6,471.85,0.64,1
0042-rlhyp,0,0,0,1,1,69,1,0,no,0,0,0,0,0,0,two_year,0,bank_transfer_automatic,19.7,1396.9,0.65,1
0048-lumls,0,1,0,1,1,37,1,0,fiber_optic,0,0,0,0,1,1,one_year,0,credit_card_automatic,91.2,3247.55,3.0,4
